Booking ID,Booking Date,Travel Date,Lead Time (Days),Origin,Destination,Airline Name,Flight Number,Flight Distance (km),Passenger Type,Class,Ticket Price (INR),Payment Method,Booking Channel,Booking Status,Cancellation Reason,Customer Satisfaction Rating
BKG100001,28-03-2023,22-04-2023,25,MAA,HYD,IndiGo,6.00E+291,630,Adult,Business,3480,Wallet,Travel Agent,Confirmed,,4
BKG100002,13-04-2023,18-05-2023,35,MAA,DEL,Akasa,QP360,1750,Senior,Economy,6533,Cash,Online,Confirmed,,1
BKG100003,24-06-2023,27-07-2023,33,HYD,BOM,GoAir,G8786,710,Adult,Economy,2091,Cash,Airline App,Pending,,
BKG100004,08-04-2023,15-06-2023,68,BLR,DEL,Akasa,QP528,1740,Adult,Business,10361,UPI,Travel Agent,Confirmed,,4
BKG100005,17-05-2023,02-08-2023,77,MAA,BLR,IndiGo,6E407,350,Adult,Economy,1194,Netbanking,Travel Agent,Confirmed,,5
BKG100006,11-04-2023,20-05-2023,39,BOM,MAA,SpiceJet,SG304,1030,Senior,Economy,3595,Wallet,Travel Agent,Confirmed,,1
BKG100007,27-05-2023,03-07-2023,37,MAA,BOM,Akasa,QP537,1030,Senior,Economy,2902,Cash,Online,Confirmed,,2
BKG100008,03-04-2023,15-04-2023,12,MAA,BOM,IndiGo,6.00E+101,1030,Adult,Economy,3422,Wallet,Online,Confirmed,,5
BKG100009,02-06-2023,02-07-2023,30,DEL,HYD,GoAir,G8494,1260,Adult,Business,6948,UPI,Airline App,Confirmed,,3
BKG100010,27-05-2023,05-06-2023,9,BOM,HYD,GoAir,G8907,710,Child,Economy,2024,Cash,Travel Agent,Cancelled,High ticket price,
BKG100011,26-05-2023,15-08-2023,81,BOM,MAA,GoAir,G8203,1030,Senior,Economy,2986,Netbanking,Travel Agent,Confirmed,,2
BKG100012,16-04-2023,02-06-2023,47,HYD,DEL,SpiceJet,SG674,1260,Senior,Economy,3865,Card,Airline App,Confirmed,,4
BKG100013,24-01-2023,16-02-2023,23,MAA,DEL,GoAir,G8111,1750,Senior,Business,10452,Cash,Travel Agent,Confirmed,,5
BKG100014,01-02-2023,11-04-2023,69,MAA,HYD,Vistara,UK461,630,Child,Economy,1929,Card,Travel Agent,Confirmed,,1
BKG100015,27-04-2023,30-04-2023,3,BLR,MAA,SpiceJet,SG214,350,Adult,Economy,887,Netbanking,Online,Confirmed,,1
BKG100016,19-01-2023,08-03-2023,48,HYD,DEL,Vistara,UK233,1260,Child,Business,7397,Wallet,Airline App,Confirmed,,1
BKG100017,30-05-2023,16-06-2023,17,HYD,BLR,IndiGo,6E896,500,Child,Economy,1429,UPI,Travel Agent,Confirmed,,1
BKG100018,11-02-2023,19-03-2023,36,BLR,MAA,Vistara,UK995,350,Child,Economy,1125,Netbanking,Online,Cancelled,Change in plans,
BKG100019,26-05-2023,28-06-2023,33,HYD,DEL,Air India,AI643,1260,Child,Business,7282,Netbanking,Travel Agent,Confirmed,,4
BKG100020,09-06-2023,21-08-2023,73,MAA,BLR,IndiGo,6E454,350,Senior,Economy,1006,Card,Online,Confirmed,,5
BKG100021,28-05-2023,29-06-2023,32,DEL,BLR,SpiceJet,SG871,1740,Senior,First,12427,Card,Travel Agent,Confirmed,,5
